10 -> ['1', '2'] = 2 (False)
10 -> ['1', '6'] = 1 (False)
10 -> ['1', '19'] = 2 (False)
10 -> ['4', '5'] = 2 (False)
10 -> ['5', '6'] = 1 (False)
10 -> ['5', '6'] = 1 (False)
10 -> ['5', '9'] = 2 (False)
10 -> ['11', '12'] = 1 (False)
10 -> ['11', '13'] = 1 (False)
10 -> ['11', '14'] = 1 (False)
10 -> ['15', '16'] = 1 (False)
10 -> ['15', '17'] = 1 (False)
10 -> ['15', '18'] = 1 (False)
10 -> ['19', '20'] = 3 (True)
10 -> ['22', '23'] = 4 (True)
27 -> ['19', '22'] = 2 (False)
27 -> ['22', '25'] = 1 (False)
27 -> ['25', '26'] = 1 (False)
27 -> ['1', '19'] = 3 (True)
27 -> ['19', '22'] = 2 (False)
27 -> ['22', '24'] = 2 (False)
27 -> ['22', '25'] = 1 (False)
27 -> ['25', '26'] = 1 (False)
29 -> ['3', '28'] = 1 (False)
['1', '2'] -> ['3', '28'] = 1 (False)
['1', '2'] -> ['6', '10'] = 1 (False)
['1', '2'] -> ['19', '20'] = 1 (False)
['1', '2'] -> ['19', '21'] = 1 (False)
['1', '2'] -> ['19', '22'] = 1 (False)
['1', '2'] -> ['28', '29'] = 2 (False)
['1', '2'] -> ['3', '4'] = 1 (False)
['1', '2'] -> ['5', '6'] = 1 (False)
['1', '2'] -> ['19', '20'] = 1 (False)
['1', '2'] -> ['19', '21'] = 1 (False)
['1', '2'] -> ['19', '22'] = 1 (False)
['1', '2'] -> ['22', '25'] = 2 (False)
['1', '6'] -> ['2', '7'] = 1 (False)
['1', '6'] -> ['5', '9'] = 1 (False)
['1', '6'] -> ['10', '11'] = 1 (False)
['1', '6'] -> ['10', '15'] = 1 (False)
['1', '6'] -> ['19', '20'] = 1 (False)
['1', '19'] -> ['2', '3'] = 1 (False)
['1', '19'] -> ['2', '7'] = 1 (False)
['1', '19'] -> ['5', '6'] = 1 (False)
['1', '19'] -> ['6', '10'] = 1 (False)
['1', '19'] -> ['22', '23'] = 1 (False)
['1', '19'] -> ['22', '24'] = 1 (False)
['1', '19'] -> ['22', '25'] = 1 (False)
['2', '3'] -> ['1', '19'] = 1 (False)
['2', '3'] -> ['4', '8'] = 1 (False)
['2', '3'] -> ['6', '10'] = 2 (False)
['2', '3'] -> ['28', '29'] = 1 (False)
['2', '3'] -> ['28', '29'] = 1 (False)
['2', '7'] -> ['1', '6'] = 1 (False)
['2', '7'] -> ['1', '19'] = 1 (False)
['2', '7'] -> ['3', '4'] = 1 (False)
['2', '7'] -> ['3', '28'] = 1 (False)
['2', '7'] -> ['28', '29'] = 2 (False)
['3', '4'] -> ['2', '7'] = 1 (False)
['3', '4'] -> ['5', '9'] = 1 (False)
['3', '4'] -> ['6', '10'] = 2 (False)
['3', '4'] -> ['28', '29'] = 1 (False)
['3', '4'] -> ['28', '29'] = 1 (False)
['3', '4'] -> ['1', '2'] = 1 (False)
['3', '4'] -> ['5', '6'] = 1 (False)
['3', '4'] -> ['28', '29'] = 1 (False)
['3', '28'] -> ['1', '2'] = 1 (False)
['3', '28'] -> ['2', '7'] = 1 (False)
['3', '28'] -> ['4', '5'] = 1 (False)
['3', '28'] -> ['4', '8'] = 1 (False)
['4', '5'] -> ['1', '19'] = 2 (False)
['4', '5'] -> ['3', '28'] = 1 (False)
['4', '5'] -> ['6', '10'] = 1 (False)
['4', '5'] -> ['28', '29'] = 2 (False)
['4', '8'] -> ['2', '3'] = 1 (False)
['4', '8'] -> ['3', '28'] = 1 (False)
['4', '8'] -> ['5', '6'] = 1 (False)
['4', '8'] -> ['5', '9'] = 1 (False)
['4', '8'] -> ['28', '29'] = 2 (False)
['5', '6'] -> ['1', '19'] = 1 (False)
['5', '6'] -> ['4', '8'] = 1 (False)
['5', '6'] -> ['10', '15'] = 1 (False)
['5', '6'] -> ['1', '2'] = 1 (False)
['5', '6'] -> ['3', '4'] = 1 (False)
['5', '6'] -> ['10', '11'] = 1 (False)
['5', '6'] -> ['10', '15'] = 1 (False)
['5', '6'] -> ['11', '13'] = 2 (False)
['5', '6'] -> ['15', '17'] = 2 (False)
['5', '9'] -> ['1', '6'] = 1 (False)
['5', '9'] -> ['3', '4'] = 1 (False)
['5', '9'] -> ['4', '8'] = 1 (False)
['5', '9'] -> ['6', '10'] = 1 (False)
['5', '9'] -> ['10', '11'] = 2 (False)
['5', '9'] -> ['11', '13'] = 3 (True)
['6', '10'] -> ['1', '2'] = 1 (False)
['6', '10'] -> ['4', '5'] = 1 (False)
['6', '10'] -> ['5', '9'] = 1 (False)
['6', '10'] -> ['11', '13'] = 1 (False)
['6', '10'] -> ['11', '14'] = 1 (False)
['6', '10'] -> ['15', '17'] = 1 (False)
['6', '10'] -> ['15', '18'] = 1 (False)
['10', '11'] -> ['1', '6'] = 1 (False)
['10', '11'] -> ['1', '19'] = 2 (False)
['10', '11'] -> ['5', '6'] = 1 (False)
['10', '11'] -> ['15', '16'] = 1 (False)
['10', '11'] -> ['15', '17'] = 1 (False)
['10', '11'] -> ['15', '18'] = 1 (False)
['10', '15'] -> ['1', '6'] = 1 (False)
['10', '15'] -> ['1', '19'] = 2 (False)
['10', '15'] -> ['5', '6'] = 1 (False)
['10', '15'] -> ['5', '6'] = 1 (False)
['10', '15'] -> ['11', '12'] = 1 (False)
['10', '15'] -> ['11', '13'] = 1 (False)
['10', '15'] -> ['11', '14'] = 1 (False)
['11', '12'] -> ['1', '6'] = 2 (False)
['11', '12'] -> ['4', '5'] = 3 (True)
['11', '12'] -> ['5', '6'] = 2 (False)
['11', '12'] -> ['5', '9'] = 3 (True)
['11', '12'] -> ['6', '10'] = 1 (False)
['11', '12'] -> ['15', '18'] = 2 (False)
['11', '13'] -> ['6', '10'] = 1 (False)
['11', '13'] -> ['15', '18'] = 2 (False)
['11', '14'] -> ['1', '6'] = 2 (False)
['11', '14'] -> ['4', '5'] = 3 (True)
['11', '14'] -> ['10', '15'] = 1 (False)
['11', '14'] -> ['15', '18'] = 2 (False)
['15', '16'] -> ['6', '10'] = 1 (False)
['15', '16'] -> ['11', '14'] = 2 (False)
['15', '17'] -> ['5', '6'] = 2 (False)
['15', '17'] -> ['6', '10'] = 1 (False)
['15', '17'] -> ['11', '14'] = 2 (False)
['15', '18'] -> ['1', '2'] = 3 (True)
['15', '18'] -> ['5', '6'] = 2 (False)
['15', '18'] -> ['5', '6'] = 2 (False)
['15', '18'] -> ['10', '11'] = 1 (False)
['15', '18'] -> ['11', '14'] = 2 (False)
['15', '18'] -> ['19', '21'] = 4 (True)
['19', '20'] -> ['1', '2'] = 1 (False)
['19', '20'] -> ['1', '2'] = 1 (False)
['19', '20'] -> ['1', '6'] = 1 (False)
['19', '20'] -> ['2', '3'] = 2 (False)
['19', '20'] -> ['22', '23'] = 1 (False)
['19', '20'] -> ['22', '24'] = 1 (False)
['19', '20'] -> ['22', '25'] = 1 (False)
['19', '21'] -> ['1', '2'] = 1 (False)
['19', '21'] -> ['1', '2'] = 1 (False)
['19', '21'] -> ['5', '6'] = 2 (False)
['19', '21'] -> ['10', '11'] = 3 (True)
['19', '21'] -> ['15', '16'] = 4 (True)
['19', '21'] -> ['15', '18'] = 4 (True)
['19', '21'] -> ['22', '23'] = 1 (False)
['19', '21'] -> ['22', '24'] = 1 (False)
['19', '21'] -> ['22', '25'] = 1 (False)
['19', '22'] -> ['1', '2'] = 1 (False)
['19', '22'] -> ['1', '2'] = 1 (False)
['19', '22'] -> ['1', '6'] = 1 (False)
['19', '22'] -> ['25', '26'] = 1 (False)
['19', '22'] -> ['25', '27'] = 1 (False)
['22', '23'] -> ['1', '2'] = 2 (False)
['22', '23'] -> ['1', '2'] = 2 (False)
['22', '23'] -> ['19', '20'] = 1 (False)
['22', '23'] -> ['19', '21'] = 1 (False)
['22', '23'] -> ['25', '27'] = 1 (False)
['22', '23'] -> ['25', '27'] = 1 (False)
['22', '24'] -> ['19', '20'] = 1 (False)
['22', '24'] -> ['19', '21'] = 1 (False)
['22', '24'] -> ['25', '26'] = 1 (False)
['22', '24'] -> ['25', '27'] = 1 (False)
['22', '24'] -> ['25', '27'] = 1 (False)
['22', '25'] -> ['1', '2'] = 2 (False)
['22', '25'] -> ['1', '19'] = 1 (False)
['22', '25'] -> ['19', '20'] = 1 (False)
['22', '25'] -> ['19', '21'] = 1 (False)
['25', '26'] -> ['19', '22'] = 1 (False)
['25', '26'] -> ['22', '24'] = 1 (False)
['25', '27'] -> ['22', '23'] = 1 (False)
['25', '27'] -> ['22', '24'] = 1 (False)
['25', '27'] -> ['22', '23'] = 1 (False)
['25', '27'] -> ['22', '24'] = 1 (False)
['28', '29'] -> ['2', '3'] = 1 (False)
['28', '29'] -> ['3', '4'] = 1 (False)
['28', '29'] -> ['1', '2'] = 2 (False)
['28', '29'] -> ['2', '3'] = 1 (False)
['28', '29'] -> ['3', '4'] = 1 (False)
['28', '29'] -> ['4', '5'] = 2 (False)
['28', '29'] -> ['3', '4'] = 1 (False)
